seqname	feature	start	end	gene_name
chrX	CDS	41218371	41218597	USP9X
chrX	CDS	41219101	41219231	USP9X
chrX	CDS	41223216	41223402	USP9X
chrX	CDS	41224741	41224962	USP9X
chrX	CDS	41225048	41225137	USP9X
chrX	CDS	41229252	41229409	USP9X
chrX	CDS	41229566	41229779	USP9X
chrX	CDS	41230500	41230596	USP9X
chrX	CDS	41232386	41232521	USP9X
chrX	CDS	41123628	41123724	USP9X
chrX	CDS	41128999	41129145	USP9X
chrX	CDS	41131456	41131536	USP9X
chrX	CDS	41134724	41134837	USP9X
chrX	CDS	41136803	41137022	USP9X
chrX	CDS	41140655	41140771	USP9X
chrX	CDS	41140965	41141217	USP9X
chrX	CDS	41141292	41141431	USP9X
chrX	CDS	41143290	41143443	USP9X
chrX	CDS	41144521	41144626	USP9X
chrX	CDS	41148368	41148575	USP9X
chrX	CDS	41150920	41151057	USP9X
chrX	CDS	41152947	41153081	USP9X
chrX	CDS	41162789	41162877	USP9X
chrX	CDS	41165871	41166214	USP9X
chrX	CDS	41167481	41167577	USP9X
chrX	CDS	41168006	41168218	USP9X
chrX	CDS	41169994	41170235	USP9X
chrX	CDS	41170469	41170619	USP9X
chrX	CDS	41171837	41171958	USP9X
chrX	CDS	41183997	41184128	USP9X
chrX	CDS	41184396	41184675	USP9X
chrX	CDS	41186516	41186642	USP9X
chrX	CDS	41187991	41188117	USP9X
chrX	CDS	41189308	41189475	USP9X
chrX	CDS	41196250	41196359	USP9X
chrX	CDS	41196591	41196738	USP9X
chrX	CDS	41197363	41197510	USP9X
chrX	CDS	41198527	41198750	USP9X
chrX	CDS	41201059	41201280	USP9X
chrX	CDS	41205302	41205493	USP9X
chrX	CDS	41210508	41210682	USP9X
chrX	CDS	41214567	41214709	USP9X
chrX	CDS	41215898	41216652	USP9X
chrX	CDS	41217219	41217343	USP9X
chrX	CDS	41218371	41218597	USP9X
chrX	CDS	41219101	41219231	USP9X
chrX	CDS	41223216	41223402	USP9X
chrX	CDS	41224741	41224962	USP9X
chrX	CDS	41225048	41225137	USP9X
chrX	CDS	41229252	41229409	USP9X
chrX	CDS	41229566	41229827	USP9X
chrX	CDS	41230500	41230596	USP9X
chrX	CDS	41232386	41232521	USP9X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347859	41347915	DDX3X
chrX	CDS	41357832	41358000	DDX3X
chrX	CDS	41364273	41364339	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41357832	41357864	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41357832	41357864	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41364273	41364284	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41337690	41337707	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41341948	41341958	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346493	41346505	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347454	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339038	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344564	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347465	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41337690	41337707	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339038	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339038	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343736	41343772	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41340635	41340667	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41334252	41334297	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41337690	41337707	DDX3X
chrX	CDS	41343230	41343351	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344252	DDX3X
chrX	CDS	41336156	41336159	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41336156	41336159	DDX3X
chrX	CDS	41337407	41337465	DDX3X
chrX	CDS	41339035	41339083	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342542	DDX3X
chrX	CDS	41340780	41340814	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41343230	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41340780	41340814	DDX3X
chrX	CDS	41341483	41341616	DDX3X
chrX	CDS	41342494	41342653	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343215	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41343230	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41343230	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41343230	41343351	DDX3X
chrX	CDS	41343736	41343822	DDX3X
chrX	CDS	41344029	41344128	DDX3X
chrX	CDS	41344238	41344399	DDX3X
chrX	CDS	41345179	41345324	DDX3X
chrX	CDS	41345403	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347451	DDX3X
chrX	CDS	41347639	41347716	DDX3X
chrX	CDS	41342736	41342836	DDX3X
chrX	CDS	41343288	41343330	DDX3X
chrX	CDS	41345485	41345548	DDX3X
chrX	CDS	41346228	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347314	41347451	DDX3X
chrX	CDS	41364273	41364284	DDX3X
chrX	CDS	41346319	41346410	DDX3X
chrX	CDS	41346504	41346622	DDX3X
chrX	CDS	41346858	41347012	DDX3X
chrX	CDS	41347311	41347451	DDX3X
chrX	CDS	41347859	41347921	DDX3X
chrX	CDS	44873623	44873712	KDM6A
chrX	CDS	44873923	44873987	KDM6A
chrX	CDS	44961283	44961392	KDM6A
chrX	CDS	44974665	44974715	KDM6A
chrX	CDS	45010960	45011019	KDM6A
chrX	CDS	45020609	45020730	KDM6A
chrX	CDS	45034930	45034985	KDM6A
chrX	CDS	45037654	45037689	KDM6A
chrX	CDS	45051708	45051802	KDM6A
chrX	CDS	45053828	45053955	KDM6A
chrX	CDS	45059005	45059104	KDM6A
chrX	CDS	45059246	45059466	KDM6A
chrX	CDS	45060021	45060156	KDM6A
chrX	CDS	45060608	45060764	KDM6A
chrX	CDS	45061323	45061419	KDM6A
chrX	CDS	45062646	45062748	KDM6A
chrX	CDS	45063421	45063817	KDM6A
chrX	CDS	45069578	45070357	KDM6A
chrX	CDS	45076696	45076826	KDM6A
chrX	CDS	45078399	45078505	KDM6A
chrX	CDS	45079145	45079351	KDM6A
chrX	CDS	45082575	45082640	KDM6A
chrX	CDS	45082714	45082789	KDM6A
chrX	CDS	45083459	45083608	KDM6A
chrX	CDS	45085864	45085979	KDM6A
chrX	CDS	45089742	45089930	KDM6A
chrX	CDS	45090722	45090864	KDM6A
chrX	CDS	45107409	45107536	KDM6A
chrX	CDS	45110078	45110249	KDM6A
chrX	CDS	45111381	45111408	KDM6A
chrX	CDS	44873623	44873712	KDM6A
chrX	CDS	44873923	44873987	KDM6A
chrX	CDS	44961283	44961392	KDM6A
chrX	CDS	44974665	44974715	KDM6A
chrX	CDS	45010960	45011019	KDM6A
chrX	CDS	45020609	45020730	KDM6A
chrX	CDS	45034930	45034985	KDM6A
chrX	CDS	45037654	45037689	KDM6A
chrX	CDS	45051708	45051802	KDM6A
chrX	CDS	45053828	45053955	KDM6A
chrX	CDS	45059005	45059104	KDM6A
chrX	CDS	45059246	45059466	KDM6A
chrX	CDS	45061323	45061419	KDM6A
chrX	CDS	45062646	45062748	KDM6A
chrX	CDS	45063421	45063817	KDM6A
chrX	CDS	45069578	45070357	KDM6A
chrX	CDS	45076696	45076826	KDM6A
chrX	CDS	45078399	45078505	KDM6A
chrX	CDS	45079145	45079351	KDM6A
chrX	CDS	45082575	45082640	KDM6A
chrX	CDS	45082714	45082789	KDM6A
chrX	CDS	45083459	45083608	KDM6A
chrX	CDS	45085864	45085979	KDM6A
chrX	CDS	45089742	45089930	KDM6A
chrX	CDS	45090722	45090864	KDM6A
chrX	CDS	45107409	45107536	KDM6A
chrX	CDS	45110078	45110249	KDM6A
chrX	CDS	45111381	45111408	KDM6A
chrX	CDS	44873623	44873712	KDM6A
chrX	CDS	44873923	44873987	KDM6A
chrX	CDS	44961283	44961392	KDM6A
chrX	CDS	44974665	44974715	KDM6A
chrX	CDS	45010960	45011019	KDM6A
chrX	CDS	45020609	45020730	KDM6A
chrX	CDS	45034930	45034985	KDM6A
chrX	CDS	45037654	45037689	KDM6A
chrX	CDS	45051708	45051802	KDM6A
chrX	CDS	45053828	45053955	KDM6A
chrX	CDS	45059005	45059104	KDM6A
chrX	CDS	45059246	45059466	KDM6A
