Gene	Sample	Skewed_XCI	Skewing_coeff	Num_snps	AR_raw	AR_adj
FHL1	2703_XX	TRUE	1	1	0.2	0.2
APOOL	2703_XX	TRUE	1	1	0.611111111	0.611111111
HDAC8	2703_XX	TRUE	1	1	0.181818182	0.181818182
SPIN3	2703_XX	TRUE	1	2	0.2	0.2
MBTPS2	2703_XX	TRUE	1	1	0.111111111	0.111111111
RPS6KA3	2703_XX	TRUE	1	3	0.136556271	0.136556271
EIF1AX	2703_XX	TRUE	1	2	0.620409982	0.620409982
MAP7D2	2703_XX	TRUE	1	1	0.272727273	0.272727273
CDKL5	2703_XX	TRUE	1	1	0.428571429	0.428571429
SYAP1	2703_XX	TRUE	1	1	0.666666667	0.666666667
TMSB4X	2703_XX	TRUE	1	1	0.107317073	0.107317073
PNPLA4	2703_XX	TRUE	1	1	1	1
CD99	2703_XX	TRUE	1	2	0.473060345	0.473060345
P2RY8	2703_XX	TRUE	1	5	0.81959275	0.81959275
ASMTL	2703_XX	TRUE	1	4	0.756626755	0.756626755
PLCXD1	2703_XX	TRUE	1	1	0.52173913	0.52173913
DDX3X	2703_XX	TRUE	1	2	0.375	0.375
JPX	2703_XX	TRUE	1	2	0.25462963	0.25462963
XIST	2703_XX	TRUE	1	1	0.138613861	0.138613861
STS	3429_XXY	TRUE	1	1	0.432098765	0.432098765
ARHGEF9	3429_XXY	TRUE	1	1	0.173913043	0.173913043
PRKX	3429_XXY	TRUE	1	3	0.488809524	0.488809524
ZRSR2	3429_XXY	TRUE	1	1	0.550724638	0.550724638
RBBP7	3429_XXY	TRUE	1	6	0.296339204	0.296339204
GEMIN8	3429_XXY	TRUE	1	1	0.169491525	0.169491525
STK26	3429_XXY	TRUE	1	1	0.176470588	0.176470588
TRAPPC2	3429_XXY	TRUE	1	1	0.166666667	0.166666667
EIF1AX	3429_XXY	TRUE	1	4	0.471287504	0.471287504
MAP7D2	3429_XXY	TRUE	1	1	0.131578947	0.131578947
SYAP1	3429_XXY	TRUE	1	1	0.666666667	0.666666667
STK26	3430_XXY	NA	NA	1	0.3125	NA
ATRX	3430_XXY	NA	NA	1	0.333333333	NA
P2RY10	3442_XXY	FALSE	0.79	1	0.465753425	0.228181278
PGRMC1	3442_XXY	FALSE	0.79	1	0.211111111	0
NXT2	3442_XXY	FALSE	0.79	1	0.314285714	0.052880821
FMR1	3442_XXY	FALSE	0.79	2	0.423076923	0.177180472
HUWE1	3442_XXY	FALSE	0.79	1	0.229508197	0
MAGED2	3442_XXY	FALSE	0.79	5	0.287522047	0.023494981
ALG13	3442_XXY	FALSE	0.79	1	0.404761905	0.155690645
PRKX	3442_XXY	FALSE	0.79	2	0.484572785	0.251093473
SLC10A3	3442_XXY	FALSE	0.79	1	0.2	0
CHST7	3442_XXY	FALSE	0.79	1	0.208333333	0
DOCK11	3442_XXY	FALSE	0.79	2	0.346590909	0.088964588
VBP1	3442_XXY	FALSE	0.79	1	0.364754098	0.109553628
AIFM1	3442_XXY	FALSE	0.79	1	0.31875	0.057826951
FAM199X	3442_XXY	FALSE	0.79	1	0.45	0.209202013
ZRSR2	3442_XXY	FALSE	0.79	1	0.560606061	0.346405229
ELF4	3442_XXY	FALSE	0.79	1	0.269662921	0.004136663
BTK	3442_XXY	FALSE	0.79	1	0.470790378	0.234287987
MSL3	3442_XXY	FALSE	0.79	3	0.515873016	0.289789265
MAP7D3	3442_XXY	FALSE	0.79	2	0.362738644	0.107258139
SMC1A	3442_XXY	FALSE	0.79	1	0.419354839	0.172794118
FAM3A	3442_XXY	FALSE	0.79	1	0.2875	0.023470961
HMGB3	3442_XXY	FALSE	0.79	1	0.21875	0
MAGED1	3442_XXY	FALSE	0.79	1	0.444444444	0.202551834
SLC9A7	3442_XXY	FALSE	0.79	7	0.230336778	0
RBBP7	3442_XXY	FALSE	0.79	2	0.545813953	0.327509443
RLIM	3442_XXY	FALSE	0.79	2	0.212053571	0
GEMIN8	3442_XXY	FALSE	0.79	1	1	1
SUV39H1	3442_XXY	FALSE	0.79	1	0.25	0
RPGR	3442_XXY	FALSE	0.79	1	0.272727273	0.007444169
ARMCX3	3442_XXY	FALSE	0.79	1	0.166666667	0
ATP7A	3442_XXY	FALSE	0.79	3	0.353709509	0.097007789
BCOR	3442_XXY	FALSE	0.79	1	0.5	0.270072993
RAP2C	3442_XXY	FALSE	0.79	1	0.282296651	0.017810372
DMD	3442_XXY	FALSE	0.79	1	0.666666667	0.487179487
ATG4A	3442_XXY	FALSE	0.79	2	0.323817076	0.063456497
CD99L2	3442_XXY	FALSE	0.79	1	0.422222222	0.17617237
ARHGAP4	3442_XXY	FALSE	0.79	1	0.246575342	0
RBM3	3442_XXY	FALSE	0.79	3	0.366875997	0.111973296
STK26	3442_XXY	FALSE	0.79	1	0.145454545	0
SASH3	3442_XXY	FALSE	0.79	1	0.301169591	0.038422853
ZDHHC9	3442_XXY	FALSE	0.79	1	0.285714286	0.021526419
CHM	3442_XXY	FALSE	0.79	1	0.842105263	0.74248927
DKC1	3442_XXY	FALSE	0.79	1	0.276649746	0.011686375
MTMR1	3442_XXY	FALSE	0.79	2	0.386605784	0.134617449
BEX2	3442_XXY	FALSE	0.79	1	0.136363636	0
RPL36A	3442_XXY	FALSE	0.79	1	0.571428571	0.360341151
CENPI	3442_XXY	FALSE	0.79	4	0.260119048	0
TRMT2B	3442_XXY	FALSE	0.79	2	0.183712121	0
APOOL	3442_XXY	FALSE	0.79	1	0.916666667	0.860529986
SH3BGRL	3442_XXY	FALSE	0.79	1	0.161290323	0
ITM2A	3442_XXY	FALSE	0.79	1	0.253333333	0
CYSLTR1	3442_XXY	FALSE	0.79	1	0.304347826	0.041916168
PGK1	3442_XXY	FALSE	0.79	2	0.261111111	0
ATRX	3442_XXY	FALSE	0.79	1	0.31372549	0.052261034
ZXDB	3442_XXY	FALSE	0.79	1	0.375	0.121265378
FAAH2	3442_XXY	FALSE	0.79	1	0.625	0.430740038
PLP2	3442_XXY	FALSE	0.79	1	0.313131313	0.051603905
GRIPAP1	3442_XXY	FALSE	0.79	1	0.268518519	0.002902941
TIMM17B	3442_XXY	FALSE	0.79	1	0.262172285	0
TBC1D25	3442_XXY	FALSE	0.79	2	0.22631242	0
KDM6A	3442_XXY	FALSE	0.79	1	0.622641509	0.427590155
ATP6AP2	3442_XXY	FALSE	0.79	1	0.301960784	0.039291883
DYNLT3	3442_XXY	FALSE	0.79	1	0.262295082	0
TAB3	3442_XXY	FALSE	0.79	2	0.43543956	0.19181988
GK	3442_XXY	FALSE	0.79	2	0.333333333	0.074074074
MBTPS2	3442_XXY	FALSE	0.79	1	0.212121212	0
RPS6KA3	3442_XXY	FALSE	0.79	3	0.229511858	0
EIF1AX	3442_XXY	FALSE	0.79	4	0.483197837	0.249410595
TCEANC	3442_XXY	FALSE	0.79	2	0.45	0.209202013
TMSB4X	3442_XXY	FALSE	0.79	1	0.295918367	0.032665078
PRPS2	3442_XXY	FALSE	0.79	1	0.261682243	0
TBL1X	3442_XXY	FALSE	0.79	2	0.523157895	0.298902698
PNPLA4	3442_XXY	FALSE	0.79	1	1	1
PUDP	3442_XXY	FALSE	0.79	5	0.775558313	0.642114551
FANCB	3442_XXY	FALSE	0.79	1	0.214285714	0
XIST	3442_XXY	FALSE	0.79	3	0.221340122	0
TMSB15B	3442_XXY	FALSE	0.79	2	0.638888889	0.449385853
PDK3	3442_XXY	FALSE	0.79	6	0.488289488	0.255649635
GPR174	3442_XXY	FALSE	0.79	4	0.287774725	0.023770299
OTUD5	6029_XX	TRUE	0.85	1	0.166666667	0
P2RY10	6029_XX	TRUE	0.85	1	0.25	0.076923077
NXT2	6029_XX	TRUE	0.85	1	0.133333333	0
ABCD1	6029_XX	TRUE	0.85	1	0.166666667	0
HUWE1	6029_XX	TRUE	0.85	1	0.181818182	0.005524862
PIN4	6029_XX	TRUE	0.85	1	0.106666667	0
MAGED2	6029_XX	TRUE	0.85	5	0.177618052	0.001184595
GLA	6029_XX	TRUE	0.85	2	0.232142857	0.058050383
EIF2S3	6029_XX	TRUE	0.85	4	0.364882178	0.20137855
WDR44	6029_XX	TRUE	0.85	4	0.131000722	0
VAMP7	6029_XX	TRUE	0.85	1	0.174418605	0
PRKX	6029_XX	TRUE	0.85	4	0.80168691	0.728244035
DOCK11	6029_XX	TRUE	0.85	1	0.111111111	0
ZFX	6029_XX	TRUE	0.85	4	0.63248557	0.513307894
BTK	6029_XX	TRUE	0.85	2	0.169511843	0
AKAP17A	6029_XX	TRUE	0.85	1	0.959183673	0.942196532
ZMYM3	6029_XX	TRUE	0.85	1	0.137931034	0
RPS4X	6029_XX	TRUE	0.85	1	0.747133374	0.657329789
SMC1A	6029_XX	TRUE	0.85	3	0.671592775	0.561691869
USP9X	6029_XX	TRUE	0.85	1	0.180851064	0.004524887
HMGB3	6029_XX	TRUE	0.85	1	0.1	0
GTPBP6	6029_XX	TRUE	0.85	3	0.907614943	0.870583381
MAGED1	6029_XX	TRUE	0.85	1	0.152777778	0
ZBTB33	6029_XX	TRUE	0.85	1	0.225806452	0.051383399
CXorf38	6029_XX	TRUE	0.85	3	0.187502953	0.011409904
KLHL15	6029_XX	TRUE	0.85	1	0.714285714	0.615384615
RBBP7	6029_XX	TRUE	0.85	6	0.429936314	0.274275298
IL3RA	6029_XX	TRUE	0.85	1	0.85	0.792387543
PIGA	6029_XX	TRUE	0.85	1	0.272727273	0.101123596
DHRSX	6029_XX	TRUE	0.85	3	0.734796021	0.641509955
UBA1	6029_XX	TRUE	0.85	1	0.341463415	0.175572519
WASH6P	6029_XX	TRUE	0.85	1	0.304347826	0.135135135
IDS	6029_XX	TRUE	0.85	6	0.169103467	0
ARMCX3	6029_XX	TRUE	0.85	1	0.218181818	0.043381535
RPL10	6029_XX	TRUE	0.85	3	0.275132275	0.103696434
BCAP31	6029_XX	TRUE	0.85	1	0.159340659	0
ATG4A	6029_XX	TRUE	0.85	1	0.103448276	0
ARHGAP4	6029_XX	TRUE	0.85	1	0.103448276	0
STK26	6029_XX	TRUE	0.85	1	0.243902439	0.070464768
SASH3	6029_XX	TRUE	0.85	1	0.153846154	0
CHM	6029_XX	TRUE	0.85	1	0.1875	0.011406844
FLNA	6029_XX	TRUE	0.85	1	0.117647059	0
PJA1	6029_XX	TRUE	0.85	2	0.229166667	0.054916986
ARMCX6	6029_XX	TRUE	0.85	1	0.181818182	0.005524862
RAB39B	6029_XX	TRUE	0.85	1	0.19047619	0.014492754
ATP6AP1	6029_XX	TRUE	0.85	3	0.167730576	0
ZNF275	6029_XX	TRUE	0.85	6	0.19411036	0.018265451
MTMR1	6029_XX	TRUE	0.85	1	0.125	0
MBNL3	6029_XX	TRUE	0.85	1	0.15	0
BEX2	6029_XX	TRUE	0.85	1	0.333333333	0.166666667
BEX4	6029_XX	TRUE	0.85	2	0.483333333	0.335476956
APOOL	6029_XX	TRUE	0.85	2	0.563596491	0.429881106
ITM2A	6029_XX	TRUE	0.85	1	0.268292683	0.096385542
HDAC8	6029_XX	TRUE	0.85	1	0.25	0.076923077
TBC1D25	6029_XX	TRUE	0.85	1	0.142857143	0
KDM6A	6029_XX	TRUE	0.85	1	0.96969697	0.956989247
ATP6AP2	6029_XX	TRUE	0.85	1	0.125448029	0
DYNLT3	6029_XX	TRUE	0.85	1	0.173913043	0
CYBB	6029_XX	TRUE	0.85	1	0.130801688	0
POLA1	6029_XX	TRUE	0.85	1	0.216216216	0.041322314
PDK3	6029_XX	TRUE	0.85	4	0.21756993	0.042740344
RPS6KA3	6029_XX	TRUE	0.85	2	0.156794425	0
EIF1AX	6029_XX	TRUE	0.85	4	0.423872054	0.267403501
MOSPD2	6029_XX	TRUE	0.85	1	0.192307692	0.016393443
PRPS2	6029_XX	TRUE	0.85	1	0.142857143	0
TBL1X	6029_XX	TRUE	0.85	3	0.21047619	0.035317391
CD99	6029_XX	TRUE	0.85	2	0.578475663	0.447708971
ZBED1	6029_XX	TRUE	0.85	6	0.822045157	0.755116965
P2RY8	6029_XX	TRUE	0.85	4	0.888930029	0.84501731
ASMTL	6029_XX	TRUE	0.85	5	0.65213601	0.537525359
SLC25A6	6029_XX	TRUE	0.85	2	0.702936878	0.601021631
PLCXD1	6029_XX	TRUE	0.85	3	0.7	0.597315436
FAM50A	6029_XX	TRUE	0.85	1	0.189189189	0.013157895
DDX3X	6029_XX	TRUE	0.85	1	0.733840304	0.64028777
GDI1	6029_XX	TRUE	0.85	1	0.123655914	0
XIST	6029_XX	TRUE	0.85	1	0.5	0.35483871
SLC38A5	6029_XX	TRUE	0.85	1	0.114754098	0
GPR174	6029_XX	TRUE	0.85	1	0.166666667	0
DNASE1L1	7086A_XXY	TRUE	0.8	1	0.21875	0
LAMP2	7086A_XXY	TRUE	0.8	4	0.229356025	0
SLC25A43	7086A_XXY	TRUE	0.8	2	0.242021277	0
FMR1	7086A_XXY	TRUE	0.8	2	0.153415454	0
HTATSF1	7086A_XXY	TRUE	0.8	2	0.227028348	0
EDA2R	7086A_XXY	TRUE	0.8	1	0.333333333	0.090909091
ABCB7	7086A_XXY	TRUE	0.8	1	0.171052632	0
WDR44	7086A_XXY	TRUE	0.8	1	0.211538462	0
PRKX	7086A_XXY	TRUE	0.8	5	0.721435302	0.575172791
SLC10A3	7086A_XXY	TRUE	0.8	1	0.294117647	0.047619048
TAF1	7086A_XXY	TRUE	0.8	2	0.154024768	0
SNX12	7086A_XXY	TRUE	0.8	1	0.223880597	0
VBP1	7086A_XXY	TRUE	0.8	1	0.217712177	0
TMEM164	7086A_XXY	TRUE	0.8	2	0.301994302	0.05624037
FAM199X	7086A_XXY	TRUE	0.8	1	0.258064516	0.00862069
NKRF	7086A_XXY	TRUE	0.8	1	0.142857143	0
RBMX2	7086A_XXY	TRUE	0.8	1	0.4375	0.210526316
ELF4	7086A_XXY	TRUE	0.8	3	0.308573961	0.06347028
BTK	7086A_XXY	TRUE	0.8	1	0.310810811	0.065934066
HCFC1	7086A_XXY	TRUE	0.8	3	0.278314769	0.030432202
ZMYM3	7086A_XXY	TRUE	0.8	1	0.181818182	0
MAP7D3	7086A_XXY	TRUE	0.8	3	0.299090157	0.053057393
FAM3A	7086A_XXY	TRUE	0.8	1	0.466666667	0.245283019
ZBTB33	7086A_XXY	TRUE	0.8	3	0.245484401	0
ATP11C	7086A_XXY	TRUE	0.8	2	0.202274755	0
BRCC3	7086A_XXY	TRUE	0.8	1	0.137931034	0
MED12	7086A_XXY	TRUE	0.8	1	0.378378378	0.141791045
ERCC6L	7086A_XXY	TRUE	0.8	2	0.305555556	0.060150376
CUL4B	7086A_XXY	TRUE	0.8	1	0.272727273	0.024390244
ZNF449	7086A_XXY	TRUE	0.8	1	0.375	0.137931034
ACSL4	7086A_XXY	TRUE	0.8	3	0.429314708	0.200874279
ARMCX3	7086A_XXY	TRUE	0.8	1	0.175	0
ATP7A	7086A_XXY	TRUE	0.8	3	0.277849928	0.029928861
IGBP1	7086A_XXY	TRUE	0.8	2	0.226782753	0
RPL10	7086A_XXY	TRUE	0.8	4	0.368238422	0.130227075
CD99L2	7086A_XXY	TRUE	0.8	3	0.218668953	0
XIAP	7086A_XXY	TRUE	0.8	9	0.237189423	0
SASH3	7086A_XXY	TRUE	0.8	2	0.241387843	0
OCRL	7086A_XXY	TRUE	0.8	1	0.4	0.166666667
LAGE3	7086A_XXY	TRUE	0.8	2	0.273485514	0.025209094
CHM	7086A_XXY	TRUE	0.8	3	0.533936652	0.32767624
FLNA	7086A_XXY	TRUE	0.8	6	0.358522517	0.119207126
RAB39B	7086A_XXY	TRUE	0.8	1	0.425	0.195804196
DKC1	7086A_XXY	TRUE	0.8	1	0.223719677	0
G6PD	7086A_XXY	TRUE	0.8	1	0.166666667	0
UBL4A	7086A_XXY	TRUE	0.8	3	0.19257117	0
PLXNA3	7086A_XXY	TRUE	0.8	1	0.5	0.285714286
ATP6AP1	7086A_XXY	TRUE	0.8	1	0.506666667	0.29389313
ZNF275	7086A_XXY	TRUE	0.8	6	0.31547619	0.071082391
NSDHL	7086A_XXY	TRUE	0.8	2	0.298188175	0.052069827
MTMR1	7086A_XXY	TRUE	0.8	1	0.316831683	0.072580645
SLC9A6	7086A_XXY	TRUE	0.8	1	0.409090909	0.17721519
MBNL3	7086A_XXY	TRUE	0.8	5	0.247908833	0
TSC22D3	7086A_XXY	TRUE	0.8	1	0.234042553	0
PRPS1	7086A_XXY	TRUE	0.8	1	0.191304348	0
RBM41	7086A_XXY	TRUE	0.8	1	0.321428571	0.077669903
TCEAL4	7086A_XXY	TRUE	0.8	1	0.208494208	0
BEX2	7086A_XXY	TRUE	0.8	1	0.75	0.615384615
BEX4	7086A_XXY	TRUE	0.8	1	0.375	0.137931034
CENPI	7086A_XXY	TRUE	0.8	2	0.267058824	0.018279231
TRMT2B	7086A_XXY	TRUE	0.8	1	0.25	7.40E-17
CSTF2	7086A_XXY	TRUE	0.8	2	0.389317889	0.15433969
APOOL	7086A_XXY	TRUE	0.8	5	0.307345238	0.062118169
ITM2A	7086A_XXY	TRUE	0.8	1	0.159574468	0
ATRX	7086A_XXY	TRUE	0.8	2	0.178125	0
UPRT	7086A_XXY	TRUE	0.8	1	0.205882353	0
CHIC1	7086A_XXY	TRUE	0.8	1	0.285714286	0.038461538
OGT	7086A_XXY	TRUE	0.8	4	0.302458097	0.056749158
KIF4A	7086A_XXY	TRUE	0.8	2	0.309615385	0.064616988
SPIN3	7086A_XXY	TRUE	0.8	1	0.428571429	0.2
XIST	7086A_XXY	TRUE	0.8	3	0.282433886	0.034897979
GDI1	7086A_XXY	TRUE	0.8	1	0.333333333	0.090909091
GPR174	7086A_XXY	TRUE	0.8	1	0.28	0.032258065
P2RY10	7089B_XXY	TRUE	1	1	0.168443497	0.168443497
STS	7089B_XXY	TRUE	1	2	0.383549784	0.383549784
PRKX	7089B_XXY	TRUE	1	5	0.602665278	0.602665278
ZFX	7089B_XXY	TRUE	1	3	0.263888889	0.263888889
ZRSR2	7089B_XXY	TRUE	1	1	0.631578947	0.631578947
HCFC1	7089B_XXY	TRUE	1	2	0.135642415	0.135642415
MSL3	7089B_XXY	TRUE	1	1	0.9	0.9
CA5B	7089B_XXY	TRUE	1	1	0.333333333	0.333333333
SMC1A	7089B_XXY	TRUE	1	2	0.560606061	0.560606061
USP9X	7089B_XXY	TRUE	1	1	0.149659864	0.149659864
CHM	7089B_XXY	TRUE	1	1	0.2	0.2
TRAPPC2	7089B_XXY	TRUE	1	3	0.310309811	0.310309811
APOOL	7089B_XXY	TRUE	1	3	0.460756723	0.460756723
ATRX	7089B_XXY	TRUE	1	1	0.4375	0.4375
TCEANC	7089B_XXY	TRUE	1	1	0.266666667	0.266666667
PNPLA4	7089B_XXY	TRUE	1	3	0.633333333	0.633333333
PUDP	7089B_XXY	TRUE	1	4	0.713301729	0.713301729
DDX3X	7089B_XXY	TRUE	1	1	0.52	0.52
GPR174	7089B_XXY	TRUE	1	1	0.103448276	0.103448276
DNASE1L1	7194A_XXY	TRUE	0.81	3	0.124897075	0
P2RY10	7194A_XXY	TRUE	0.81	1	0.203791469	0
STS	7194A_XXY	TRUE	0.81	3	0.472822682	0.267975704
NXT2	7194A_XXY	TRUE	0.81	2	0.142830746	0
WDR13	7194A_XXY	TRUE	0.81	1	0.15	0
ABCD1	7194A_XXY	TRUE	0.81	1	0.142857143	0
FMR1	7194A_XXY	TRUE	0.81	2	0.212946818	0
HUWE1	7194A_XXY	TRUE	0.81	1	0.150442478	0
HTATSF1	7194A_XXY	TRUE	0.81	1	0.231578947	0
THOC2	7194A_XXY	TRUE	0.81	1	0.5	0.300699301
SLC35A2	7194A_XXY	TRUE	0.81	1	0.328571429	0.101853621
CFP	7194A_XXY	TRUE	0.81	1	0.166666667	0
EDA2R	7194A_XXY	TRUE	0.81	1	0.210526316	0
