name	chromosome	coord	unique_bcs	gene	orientation	type
chr6:73521447-73521646	chr6	73521447-73521646	83	EEF1A1	minus	positive ctl
chr6:73521497-73521696	chr6	73521497-73521696	88	EEF1A1	minus	positive ctl
chr6:73521547-73521746	chr6	73521547-73521746	134	EEF1A1	minus	positive ctl
chr6:73521597-73521796	chr6	73521597-73521796	98	EEF1A1	minus	positive ctl
chr6:73521647-73521846	chr6	73521647-73521846	116	EEF1A1	minus	positive ctl
chr6:73521697-73521896	chr6	73521697-73521896	77	EEF1A1	minus	positive ctl
chr6:73521747-73521946	chr6	73521747-73521946	73	EEF1A1	minus	positive ctl
chr6:73521797-73521996	chr6	73521797-73521996	69	EEF1A1	minus	positive ctl
chr6:73521847-73522046	chr6	73521847-73522046	66	EEF1A1	minus	positive ctl
chr6:73521897-73522096	chr6	73521897-73522096	78	EEF1A1	minus	positive ctl
chr6:73521947-73522146	chr6	73521947-73522146	40	EEF1A1	minus	positive ctl
chr6:73521997-73522196	chr6	73521997-73522196	60	EEF1A1	minus	positive ctl
chr6:73522047-73522246	chr6	73522047-73522246	57	EEF1A1	minus	positive ctl
chr6:73522097-73522296	chr6	73522097-73522296	52	EEF1A1	minus	positive ctl
chr6:73522147-73522346	chr6	73522147-73522346	68	EEF1A1	minus	positive ctl
chr6:73522197-73522396	chr6	73522197-73522396	111	EEF1A1	minus	positive ctl
chr6:73522247-73522446	chr6	73522247-73522446	54	EEF1A1	minus	positive ctl
chr6:73522297-73522496	chr6	73522297-73522496	32	EEF1A1	minus	positive ctl
chr6:73522347-73522546	chr6	73522347-73522546	59	EEF1A1	minus	positive ctl
chr6:73522397-73522596	chr6	73522397-73522596	81	EEF1A1	minus	positive ctl
chr6:73522447-73522646	chr6	73522447-73522646	35	EEF1A1	minus	positive ctl
chr6:73522497-73522696	chr6	73522497-73522696	18	EEF1A1	minus	positive ctl
chr6:73522547-73522746	chr6	73522547-73522746	11	EEF1A1	minus	positive ctl
chr6:73522597-73522796	chr6	73522597-73522796	20	EEF1A1	minus	positive ctl
chr6:73522647-73522846	chr6	73522647-73522846	71	EEF1A1	minus	positive ctl
chr6:73522697-73522896	chr6	73522697-73522896	42	EEF1A1	minus	positive ctl
chr6:73522747-73522946	chr6	73522747-73522946	64	EEF1A1	minus	positive ctl
chr6:73522797-73522996	chr6	73522797-73522996	53	EEF1A1	minus	positive ctl
chr6:73522847-73523046	chr6	73522847-73523046	47	EEF1A1	minus	positive ctl
chr6:73522897-73523096	chr6	73522897-73523096	81	EEF1A1	minus	positive ctl
chr6:73522947-73523146	chr6	73522947-73523146	58	EEF1A1	minus	positive ctl
chr6:73522997-73523196	chr6	73522997-73523196	55	EEF1A1	minus	positive ctl
chr6:73523047-73523246	chr6	73523047-73523246	113	EEF1A1	minus	positive ctl
chr6:73523097-73523296	chr6	73523097-73523296	147	EEF1A1	minus	positive ctl
chr6:73523147-73523346	chr6	73523147-73523346	122	EEF1A1	minus	positive ctl
chr6:73523197-73523396	chr6	73523197-73523396	142	EEF1A1	minus	positive ctl
chr6:73523247-73523446	chr6	73523247-73523446	83	EEF1A1	minus	positive ctl
chr6:73523297-73523496	chr6	73523297-73523496	116	EEF1A1	minus	positive ctl
chr6:73523347-73523546	chr6	73523347-73523546	159	EEF1A1	minus	positive ctl
chr6:73523397-73523596	chr6	73523397-73523596	72	EEF1A1	minus	positive ctl
chr6:73523447-73523646	chr6	73523447-73523646	73	EEF1A1	minus	positive ctl
chr6:73523497-73523696	chr6	73523497-73523696	46	EEF1A1	minus	positive ctl
chr6:73523547-73523746	chr6	73523547-73523746	2	EEF1A1	minus	positive ctl
chr6:73523597-73523796	chr6	73523597-73523796	8	EEF1A1	minus	positive ctl
chr6:73523647-73523846	chr6	73523647-73523846	72	EEF1A1	minus	positive ctl
chr6:73523697-73523896	chr6	73523697-73523896	68	EEF1A1	minus	positive ctl
chr6:73523747-73523946	chr6	73523747-73523946	109	EEF1A1	minus	positive ctl
chr6:73523797-73523996	chr6	73523797-73523996	68	EEF1A1	minus	positive ctl
chr6:73523847-73524046	chr6	73523847-73524046	72	EEF1A1	minus	positive ctl
chr6:73523897-73524096	chr6	73523897-73524096	39	EEF1A1	minus	positive ctl
chr6:73523947-73524146	chr6	73523947-73524146	38	EEF1A1	minus	positive ctl
chr6:73523997-73524196	chr6	73523997-73524196	71	EEF1A1	minus	positive ctl
chr6:73524047-73524246	chr6	73524047-73524246	52	EEF1A1	minus	positive ctl
chr6:73524097-73524296	chr6	73524097-73524296	72	EEF1A1	minus	positive ctl
chr6:73524147-73524346	chr6	73524147-73524346	65	EEF1A1	minus	positive ctl
cmv:1-200_shuff	cmv	1-200_shuff	73	CMV	plus	negative ctl
cmv:101-300_shuff	cmv	101-300_shuff	85	CMV	plus	negative ctl
cmv:151-350_shuff	cmv	151-350_shuff	78	CMV	plus	negative ctl
cmv:201-400_shuff	cmv	201-400_shuff	81	CMV	plus	negative ctl
cmv:251-450_shuff	cmv	251-450_shuff	91	CMV	plus	negative ctl
cmv:301-500_shuff	cmv	301-500_shuff	110	CMV	plus	negative ctl
cmv:51-250_shuff	cmv	51-250_shuff	70	CMV	plus	negative ctl
chrY:19743383-19743582_shuff	chrY	19743383-19743582_shuff	113	KDM5D	minus	negative ctl
chrY:19743433-19743632_shuff	chrY	19743433-19743632_shuff	116	KDM5D	minus	negative ctl
chrY:19743483-19743682_shuff	chrY	19743483-19743682_shuff	81	KDM5D	minus	negative ctl
chrY:19743533-19743732_shuff	chrY	19743533-19743732_shuff	96	KDM5D	minus	negative ctl
chrY:19743583-19743782_shuff	chrY	19743583-19743782_shuff	67	KDM5D	minus	negative ctl
chrY:19743633-19743832_shuff	chrY	19743633-19743832_shuff	75	KDM5D	minus	negative ctl
chrY:19743683-19743882_shuff	chrY	19743683-19743882_shuff	54	KDM5D	minus	negative ctl
chrY:19743733-19743932_shuff	chrY	19743733-19743932_shuff	74	KDM5D	minus	negative ctl
chrY:19743783-19743982_shuff	chrY	19743783-19743982_shuff	60	KDM5D	minus	negative ctl
chrY:19743833-19744032_shuff	chrY	19743833-19744032_shuff	83	KDM5D	minus	negative ctl
chrY:19743883-19744082_shuff	chrY	19743883-19744082_shuff	131	KDM5D	minus	negative ctl
chrY:19743933-19744132_shuff	chrY	19743933-19744132_shuff	62	KDM5D	minus	negative ctl
chrY:19743983-19744182_shuff	chrY	19743983-19744182_shuff	87	KDM5D	minus	negative ctl
chrY:19744033-19744232_shuff	chrY	19744033-19744232_shuff	60	KDM5D	minus	negative ctl
chrY:19744083-19744282_shuff	chrY	19744083-19744282_shuff	90	KDM5D	minus	negative ctl
chrY:19744133-19744332_shuff	chrY	19744133-19744332_shuff	110	KDM5D	minus	negative ctl
chrY:19744183-19744382_shuff	chrY	19744183-19744382_shuff	64	KDM5D	minus	negative ctl
chrY:19744233-19744432_shuff	chrY	19744233-19744432_shuff	92	KDM5D	minus	negative ctl
chrY:19744283-19744482_shuff	chrY	19744283-19744482_shuff	87	KDM5D	minus	negative ctl
chrY:19744333-19744532_shuff	chrY	19744333-19744532_shuff	134	KDM5D	minus	negative ctl
chrY:19744383-19744582_shuff	chrY	19744383-19744582_shuff	97	KDM5D	minus	negative ctl
chrY:19744433-19744632_shuff	chrY	19744433-19744632_shuff	59	KDM5D	minus	negative ctl
chrY:19744483-19744682_shuff	chrY	19744483-19744682_shuff	65	KDM5D	minus	negative ctl
chrY:19744533-19744732_shuff	chrY	19744533-19744732_shuff	87	KDM5D	minus	negative ctl
chrY:19744583-19744782_shuff	chrY	19744583-19744782_shuff	42	KDM5D	minus	negative ctl
chrY:19744633-19744832_shuff	chrY	19744633-19744832_shuff	84	KDM5D	minus	negative ctl
chrY:19744683-19744882_shuff	chrY	19744683-19744882_shuff	140	KDM5D	minus	negative ctl
chrY:19744733-19744932_shuff	chrY	19744733-19744932_shuff	108	KDM5D	minus	negative ctl
chrY:19744783-19744982_shuff	chrY	19744783-19744982_shuff	120	KDM5D	minus	negative ctl
chrY:19744833-19745032_shuff	chrY	19744833-19745032_shuff	136	KDM5D	minus	negative ctl
chrY:19744883-19745082_shuff	chrY	19744883-19745082_shuff	89	KDM5D	minus	negative ctl
chrY:19744933-19745132_shuff	chrY	19744933-19745132_shuff	135	KDM5D	minus	negative ctl
chrY:19744983-19745182_shuff	chrY	19744983-19745182_shuff	61	KDM5D	minus	negative ctl
chrY:19745033-19745232_shuff	chrY	19745033-19745232_shuff	16	KDM5D	minus	negative ctl
chrY:19745083-19745282_shuff	chrY	19745083-19745282_shuff	44	KDM5D	minus	negative ctl
chrY:19745133-19745332_shuff	chrY	19745133-19745332_shuff	88	KDM5D	minus	negative ctl
chrY:19745183-19745382_shuff	chrY	19745183-19745382_shuff	76	KDM5D	minus	negative ctl
chrY:19745233-19745432_shuff	chrY	19745233-19745432_shuff	97	KDM5D	minus	negative ctl
chrY:19745283-19745482_shuff	chrY	19745283-19745482_shuff	89	KDM5D	minus	negative ctl
chrY:19745333-19745532_shuff	chrY	19745333-19745532_shuff	88	KDM5D	minus	negative ctl
chrY:19745383-19745582_shuff	chrY	19745383-19745582_shuff	48	KDM5D	minus	negative ctl
chrY:19745433-19745632_shuff	chrY	19745433-19745632_shuff	54	KDM5D	minus	negative ctl
chrY:19745483-19745682_shuff	chrY	19745483-19745682_shuff	27	KDM5D	minus	negative ctl
chrY:19745533-19745732_shuff	chrY	19745533-19745732_shuff	50	KDM5D	minus	negative ctl
chrY:19745583-19745782_shuff	chrY	19745583-19745782_shuff	50	KDM5D	minus	negative ctl
chrY:19745633-19745832_shuff	chrY	19745633-19745832_shuff	25	KDM5D	minus	negative ctl
chrY:19745683-19745882_shuff	chrY	19745683-19745882_shuff	31	KDM5D	minus	negative ctl
chrY:19745733-19745932_shuff	chrY	19745733-19745932_shuff	27	KDM5D	minus	negative ctl
chrY:19745783-19745982_shuff	chrY	19745783-19745982_shuff	36	KDM5D	minus	negative ctl
chrY:19745833-19746032_shuff	chrY	19745833-19746032_shuff	43	KDM5D	minus	negative ctl
chrY:9466673-9466872_shuff	chrY	9466673-9466872_shuff	109	TSPY1	plus	negative ctl
chrY:9466723-9466922_shuff	chrY	9466723-9466922_shuff	94	TSPY1	plus	negative ctl
chrY:9466773-9466972_shuff	chrY	9466773-9466972_shuff	25	TSPY1	plus	negative ctl
chrY:9466823-9467022_shuff	chrY	9466823-9467022_shuff	74	TSPY1	plus	negative ctl
chrY:9466873-9467072_shuff	chrY	9466873-9467072_shuff	5	TSPY1	plus	negative ctl
chrY:9466923-9467122_shuff	chrY	9466923-9467122_shuff	53	TSPY1	plus	negative ctl
chrY:9466973-9467172_shuff	chrY	9466973-9467172_shuff	125	TSPY1	plus	negative ctl
chrY:9467023-9467222_shuff	chrY	9467023-9467222_shuff	84	TSPY1	plus	negative ctl
chrY:9467073-9467272_shuff	chrY	9467073-9467272_shuff	38	TSPY1	plus	negative ctl
chrY:9467123-9467322_shuff	chrY	9467123-9467322_shuff	58	TSPY1	plus	negative ctl
chrY:9467173-9467372_shuff	chrY	9467173-9467372_shuff	77	TSPY1	plus	negative ctl
chrY:9467223-9467422_shuff	chrY	9467223-9467422_shuff	71	TSPY1	plus	negative ctl
chrY:9467273-9467472_shuff	chrY	9467273-9467472_shuff	148	TSPY1	plus	negative ctl
chrY:9467323-9467522_shuff	chrY	9467323-9467522_shuff	129	TSPY1	plus	negative ctl
chrY:9467373-9467572_shuff	chrY	9467373-9467572_shuff	137	TSPY1	plus	negative ctl
chrY:9467423-9467622_shuff	chrY	9467423-9467622_shuff	165	TSPY1	plus	negative ctl
chrX:53222460-53222659_shuff	chrX	53222460-53222659_shuff	112	KDM5C	minus	negative ctl
chrX:53222510-53222709_shuff	chrX	53222510-53222709_shuff	118	KDM5C	minus	negative ctl
chrX:53222560-53222759_shuff	chrX	53222560-53222759_shuff	81	KDM5C	minus	negative ctl
chrX:53222610-53222809_shuff	chrX	53222610-53222809_shuff	90	KDM5C	minus	negative ctl
chrX:53222660-53222859_shuff	chrX	53222660-53222859_shuff	96	KDM5C	minus	negative ctl
chrX:53222710-53222909_shuff	chrX	53222710-53222909_shuff	153	KDM5C	minus	negative ctl
chrX:53222760-53222959_shuff	chrX	53222760-53222959_shuff	101	KDM5C	minus	negative ctl
chrX:53222810-53223009_shuff	chrX	53222810-53223009_shuff	122	KDM5C	minus	negative ctl
chrX:53222860-53223059_shuff	chrX	53222860-53223059_shuff	170	KDM5C	minus	negative ctl
chrX:53222910-53223109_shuff	chrX	53222910-53223109_shuff	123	KDM5C	minus	negative ctl
chrX:53222960-53223159_shuff	chrX	53222960-53223159_shuff	138	KDM5C	minus	negative ctl
chrX:53223010-53223209_shuff	chrX	53223010-53223209_shuff	109	KDM5C	minus	negative ctl
chrX:53223060-53223259_shuff	chrX	53223060-53223259_shuff	14	KDM5C	minus	negative ctl
chrX:53223110-53223309_shuff	chrX	53223110-53223309_shuff	69	KDM5C	minus	negative ctl
chrX:53223160-53223359_shuff	chrX	53223160-53223359_shuff	94	KDM5C	minus	negative ctl
chrX:53223210-53223409_shuff	chrX	53223210-53223409_shuff	75	KDM5C	minus	negative ctl
chrX:53223260-53223459_shuff	chrX	53223260-53223459_shuff	101	KDM5C	minus	negative ctl
chrX:53223310-53223509_shuff	chrX	53223310-53223509_shuff	79	KDM5C	minus	negative ctl
chrX:53223360-53223559_shuff	chrX	53223360-53223559_shuff	94	KDM5C	minus	negative ctl
chrX:53223410-53223609_shuff	chrX	53223410-53223609_shuff	98	KDM5C	minus	negative ctl
chrX:53223460-53223659_shuff	chrX	53223460-53223659_shuff	110	KDM5C	minus	negative ctl
chrX:53223510-53223709_shuff	chrX	53223510-53223709_shuff	98	KDM5C	minus	negative ctl
chrX:53223560-53223759_shuff	chrX	53223560-53223759_shuff	74	KDM5C	minus	negative ctl
chrX:53223610-53223809_shuff	chrX	53223610-53223809_shuff	68	KDM5C	minus	negative ctl
chrX:53223660-53223859_shuff	chrX	53223660-53223859_shuff	107	KDM5C	minus	negative ctl
chrX:53223710-53223909_shuff	chrX	53223710-53223909_shuff	79	KDM5C	minus	negative ctl
chrX:53223760-53223959_shuff	chrX	53223760-53223959_shuff	103	KDM5C	minus	negative ctl
chrX:53223810-53224009_shuff	chrX	53223810-53224009_shuff	158	KDM5C	minus	negative ctl
chrX:53223860-53224059_shuff	chrX	53223860-53224059_shuff	150	KDM5C	minus	negative ctl
chrX:53223910-53224109_shuff	chrX	53223910-53224109_shuff	116	KDM5C	minus	negative ctl
chrX:53223960-53224159_shuff	chrX	53223960-53224159_shuff	101	KDM5C	minus	negative ctl
chrX:53224010-53224209_shuff	chrX	53224010-53224209_shuff	65	KDM5C	minus	negative ctl
chrX:53224060-53224259_shuff	chrX	53224060-53224259_shuff	109	KDM5C	minus	negative ctl
chrX:53224110-53224309_shuff	chrX	53224110-53224309_shuff	80	KDM5C	minus	negative ctl
chrX:53224160-53224359_shuff	chrX	53224160-53224359_shuff	103	KDM5C	minus	negative ctl
chrX:53224210-53224409_shuff	chrX	53224210-53224409_shuff	99	KDM5C	minus	negative ctl
chrX:53224260-53224459_shuff	chrX	53224260-53224459_shuff	80	KDM5C	minus	negative ctl
chrX:53224310-53224509_shuff	chrX	53224310-53224509_shuff	73	KDM5C	minus	negative ctl
chrX:53224360-53224559_shuff	chrX	53224360-53224559_shuff	121	KDM5C	minus	negative ctl
chrX:53224410-53224609_shuff	chrX	53224410-53224609_shuff	122	KDM5C	minus	negative ctl
chrX:53224460-53224659_shuff	chrX	53224460-53224659_shuff	72	KDM5C	minus	negative ctl
chrX:53224510-53224709_shuff	chrX	53224510-53224709_shuff	116	KDM5C	minus	negative ctl
chrX:53224560-53224759_shuff	chrX	53224560-53224759_shuff	75	KDM5C	minus	negative ctl
chrX:53224610-53224809_shuff	chrX	53224610-53224809_shuff	89	KDM5C	minus	negative ctl
chrX:53224660-53224859_shuff	chrX	53224660-53224859_shuff	82	KDM5C	minus	negative ctl
chrX:53224710-53224909_shuff	chrX	53224710-53224909_shuff	90	KDM5C	minus	negative ctl
chrX:53224760-53224959_shuff	chrX	53224760-53224959_shuff	119	KDM5C	minus	negative ctl
chrX:53224810-53225009_shuff	chrX	53224810-53225009_shuff	97	KDM5C	minus	negative ctl
chrX:53224860-53225059_shuff	chrX	53224860-53225059_shuff	156	KDM5C	minus	negative ctl
chrX:53224910-53225109_shuff	chrX	53224910-53225109_shuff	161	KDM5C	minus	negative ctl
chrX:53224960-53225159_shuff	chrX	53224960-53225159_shuff	67	KDM5C	minus	negative ctl
chrX:53225010-53225209_shuff	chrX	53225010-53225209_shuff	95	KDM5C	minus	negative ctl
chrX:53225060-53225259_shuff	chrX	53225060-53225259_shuff	88	KDM5C	minus	negative ctl
chrX:53225110-53225309_shuff	chrX	53225110-53225309_shuff	52	KDM5C	minus	negative ctl
chrX:53225160-53225359_shuff	chrX	53225160-53225359_shuff	89	KDM5C	minus	negative ctl
chrX:53225210-53225409_shuff	chrX	53225210-53225409_shuff	105	KDM5C	minus	negative ctl
chrX:53225260-53225459_shuff	chrX	53225260-53225459_shuff	126	KDM5C	minus	negative ctl
chrX:53225310-53225509_shuff	chrX	53225310-53225509_shuff	79	KDM5C	minus	negative ctl
chrX:53225360-53225559_shuff	chrX	53225360-53225559_shuff	79	KDM5C	minus	negative ctl
chrX:53225410-53225609_shuff	chrX	53225410-53225609_shuff	95	KDM5C	minus	negative ctl
chrX:53225460-53225659_shuff	chrX	53225460-53225659_shuff	81	KDM5C	minus	negative ctl
chrX:53225510-53225709_shuff	chrX	53225510-53225709_shuff	117	KDM5C	minus	negative ctl
chrX:53225560-53225759_shuff	chrX	53225560-53225759_shuff	59	KDM5C	minus	negative ctl
chrX:53225610-53225809_shuff	chrX	53225610-53225809_shuff	111	KDM5C	minus	negative ctl
chrX:53225660-53225859_shuff	chrX	53225660-53225859_shuff	91	KDM5C	minus	negative ctl
chrX:53225710-53225909_shuff	chrX	53225710-53225909_shuff	91	KDM5C	minus	negative ctl
chrX:53225760-53225959_shuff	chrX	53225760-53225959_shuff	103	KDM5C	minus	negative ctl
chrX:53225810-53226009_shuff	chrX	53225810-53226009_shuff	48	KDM5C	minus	negative ctl
chrX:53225860-53226059_shuff	chrX	53225860-53226059_shuff	73	KDM5C	minus	negative ctl
chr7:5528695-5528894_shuff	chr7	5528695-5528894_shuff	130	ACTB	minus	negative ctl
chr7:5528745-5528944_shuff	chr7	5528745-5528944_shuff	90	ACTB	minus	negative ctl
chr7:5528795-5528994_shuff	chr7	5528795-5528994_shuff	83	ACTB	minus	negative ctl
chr7:5528845-5529044_shuff	chr7	5528845-5529044_shuff	100	ACTB	minus	negative ctl
chr7:5528895-5529094_shuff	chr7	5528895-5529094_shuff	154	ACTB	minus	negative ctl
chr7:5528945-5529144_shuff	chr7	5528945-5529144_shuff	225	ACTB	minus	negative ctl
chr7:5528995-5529194_shuff	chr7	5528995-5529194_shuff	131	ACTB	minus	negative ctl
chr7:5529045-5529244_shuff	chr7	5529045-5529244_shuff	155	ACTB	minus	negative ctl
chr7:5529095-5529294_shuff	chr7	5529095-5529294_shuff	130	ACTB	minus	negative ctl
chr7:5529145-5529344_shuff	chr7	5529145-5529344_shuff	152	ACTB	minus	negative ctl
chr7:5529195-5529394_shuff	chr7	5529195-5529394_shuff	100	ACTB	minus	negative ctl
chr7:5529245-5529444_shuff	chr7	5529245-5529444_shuff	82	ACTB	minus	negative ctl
chr7:5529295-5529494_shuff	chr7	5529295-5529494_shuff	176	ACTB	minus	negative ctl
chr7:5529345-5529544_shuff	chr7	5529345-5529544_shuff	83	ACTB	minus	negative ctl
chr7:5529395-5529594_shuff	chr7	5529395-5529594_shuff	45	ACTB	minus	negative ctl
chr7:5529445-5529644_shuff	chr7	5529445-5529644_shuff	114	ACTB	minus	negative ctl
chr7:5529495-5529694_shuff	chr7	5529495-5529694_shuff	142	ACTB	minus	negative ctl
chr7:5529545-5529744_shuff	chr7	5529545-5529744_shuff	103	ACTB	minus	negative ctl
chr7:5529595-5529794_shuff	chr7	5529595-5529794_shuff	116	ACTB	minus	negative ctl
chr7:5529645-5529844_shuff	chr7	5529645-5529844_shuff	148	ACTB	minus	negative ctl
chr7:5529695-5529894_shuff	chr7	5529695-5529894_shuff	75	ACTB	minus	negative ctl
chr7:5529745-5529944_shuff	chr7	5529745-5529944_shuff	107	ACTB	minus	negative ctl
chr7:5529795-5529994_shuff	chr7	5529795-5529994_shuff	19	ACTB	minus	negative ctl
chr7:5529995-5530194_shuff	chr7	5529995-5530194_shuff	77	ACTB	minus	negative ctl
chr7:5530045-5530244_shuff	chr7	5530045-5530244_shuff	35	ACTB	minus	negative ctl
chr7:5530095-5530294_shuff	chr7	5530095-5530294_shuff	60	ACTB	minus	negative ctl
chr7:5530195-5530394_shuff	chr7	5530195-5530394_shuff	1	ACTB	minus	negative ctl
chr7:5530495-5530694_shuff	chr7	5530495-5530694_shuff	56	ACTB	minus	negative ctl
chr7:5530545-5530744_shuff	chr7	5530545-5530744_shuff	114	ACTB	minus	negative ctl
chr6:73520747-73520946_shuff	chr6	73520747-73520946_shuff	174	EEF1A1	minus	negative ctl
chr6:73520797-73520996_shuff	chr6	73520797-73520996_shuff	176	EEF1A1	minus	negative ctl
chr6:73520847-73521046_shuff	chr6	73520847-73521046_shuff	131	EEF1A1	minus	negative ctl
chr6:73520897-73521096_shuff	chr6	73520897-73521096_shuff	147	EEF1A1	minus	negative ctl
chr6:73520947-73521146_shuff	chr6	73520947-73521146_shuff	66	EEF1A1	minus	negative ctl
chr6:73520997-73521196_shuff	chr6	73520997-73521196_shuff	81	EEF1A1	minus	negative ctl
chr6:73521047-73521246_shuff	chr6	73521047-73521246_shuff	103	EEF1A1	minus	negative ctl
chr6:73521097-73521296_shuff	chr6	73521097-73521296_shuff	97	EEF1A1	minus	negative ctl
chr6:73521147-73521346_shuff	chr6	73521147-73521346_shuff	64	EEF1A1	minus	negative ctl
chr6:73521197-73521396_shuff	chr6	73521197-73521396_shuff	115	EEF1A1	minus	negative ctl
chr6:73521247-73521446_shuff	chr6	73521247-73521446_shuff	130	EEF1A1	minus	negative ctl
chr6:73521297-73521496_shuff	chr6	73521297-73521496_shuff	107	EEF1A1	minus	negative ctl
chr6:73521347-73521546_shuff	chr6	73521347-73521546_shuff	83	EEF1A1	minus	negative ctl
chr6:73521397-73521596_shuff	chr6	73521397-73521596_shuff	77	EEF1A1	minus	negative ctl
chr6:73521447-73521646_shuff	chr6	73521447-73521646_shuff	75	EEF1A1	minus	negative ctl
chr6:73521497-73521696_shuff	chr6	73521497-73521696_shuff	64	EEF1A1	minus	negative ctl
chr6:73521547-73521746_shuff	chr6	73521547-73521746_shuff	87	EEF1A1	minus	negative ctl
chr6:73521597-73521796_shuff	chr6	73521597-73521796_shuff	92	EEF1A1	minus	negative ctl
chr6:73521647-73521846_shuff	chr6	73521647-73521846_shuff	88	EEF1A1	minus	negative ctl
chr6:73521697-73521896_shuff	chr6	73521697-73521896_shuff	96	EEF1A1	minus	negative ctl
chr6:73521747-73521946_shuff	chr6	73521747-73521946_shuff	56	EEF1A1	minus	negative ctl
chr6:73521797-73521996_shuff	chr6	73521797-73521996_shuff	65	EEF1A1	minus	negative ctl
chr6:73521847-73522046_shuff	chr6	73521847-73522046_shuff	61	EEF1A1	minus	negative ctl
chr6:73521897-73522096_shuff	chr6	73521897-73522096_shuff	77	EEF1A1	minus	negative ctl
chr6:73521947-73522146_shuff	chr6	73521947-73522146_shuff	24	EEF1A1	minus	negative ctl
chr6:73521997-73522196_shuff	chr6	73521997-73522196_shuff	74	EEF1A1	minus	negative ctl
chr6:73522047-73522246_shuff	chr6	73522047-73522246_shuff	76	EEF1A1	minus	negative ctl
chr6:73522097-73522296_shuff	chr6	73522097-73522296_shuff	80	EEF1A1	minus	negative ctl
chr6:73522147-73522346_shuff	chr6	73522147-73522346_shuff	58	EEF1A1	minus	negative ctl
