gene	name	unique_bcs	type	LCL_log2	LCL_n_obs_bc	fib1_log2	fib1_n_obs_bc	fib2_log2	fib2_n_obs_bc
EEF1A1	chr6:73523747-73523946	109	positive ctl	2.0782	48	0.3715	67	0.5545	71
EEF1A1	chr6:73523747-73523946_shuff	113	negative ctl	-1.0009	43	-0.4931	73	-0.4649	75
EEF1A1	chr6:73523797-73523996	68	positive ctl	2.2137	28	0.9428	40	0.6528	45
EEF1A1	chr6:73523797-73523996_shuff	88	negative ctl	0.8094	31	-0.1693	50	-0.2869	57
EEF1A1	chr6:73523847-73524046	72	positive ctl	2.0138	32	0.8250	47	0.6239	50
EEF1A1	chr6:73523847-73524046_shuff	47	negative ctl	-1.1102	17	-0.8677	31	-0.7635	30
EEF1A1	chr6:73523897-73524096	39	positive ctl	-0.4820	19	-0.3316	27	-0.4769	24
EEF1A1	chr6:73523897-73524096_shuff	57	negative ctl	0.4123	22	-0.3908	33	-0.1422	36
EEF1A1	chr6:73523947-73524146	38	positive ctl	-2.6528	19	-1.6053	23	-1.8441	23
EEF1A1	chr6:73523947-73524146_shuff	50	negative ctl	-1.9568	24	-1.7992	35	-2.1369	31
EEF1A1	chr6:73523997-73524196	71	positive ctl	-0.0285	37	-1.9898	53	-2.0235	54
EEF1A1	chr6:73523997-73524196_shuff	94	negative ctl	-0.8883	43	-1.0495	55	-1.3317	57
EEF1A1	chr6:73524047-73524246	52	positive ctl	-1.5092	28	-1.3549	37	-1.8415	39
EEF1A1	chr6:73524047-73524246_shuff	62	negative ctl	-2.4262	25	-1.6610	40	-1.1387	46
EEF1A1	chr6:73524097-73524296	72	positive ctl	-1.9304	43	-0.7197	48	-1.2939	49
EEF1A1	chr6:73524097-73524296_shuff	64	negative ctl	-1.2859	33	-1.6594	45	-2.1585	49
EEF1A1	chr6:73524147-73524346	65	positive ctl	-0.8929	35	-1.1675	47	-0.8664	47
EEF1A1	chr6:73524147-73524346_shuff	82	negative ctl	-2.4017	30	-1.7451	39	-1.7950	42
ACTB	chr7:5528695-5528894	121	positive ctl	-0.6863	37	-0.2907	66	-0.5807	78
ACTB	chr7:5528695-5528894_shuff	130	negative ctl	-0.5681	68	-1.2269	85	-1.3118	91
ACTB	chr7:5528745-5528944	120	positive ctl	-0.8916	68	-1.4724	92	-1.6738	94
ACTB	chr7:5528745-5528944_shuff	90	negative ctl	-0.5379	45	-1.1238	69	-1.1641	74
ACTB	chr7:5528795-5528994	83	positive ctl	-2.2481	41	-2.3981	61	-2.5729	65
ACTB	chr7:5528795-5528994_shuff	83	negative ctl	-1.0981	52	-0.7967	55	-1.6080	63
ACTB	chr7:5528845-5529044	118	positive ctl	-1.2679	49	-1.9048	66	-1.1568	68
ACTB	chr7:5528845-5529044_shuff	100	negative ctl	-1.0298	39	-0.9176	68	-1.0139	77
ACTB	chr7:5528895-5529094	85	positive ctl	-0.5233	50	-1.1264	63	-0.8745	73
ACTB	chr7:5528895-5529094_shuff	154	negative ctl	-1.1598	40	-1.9168	75	-1.6392	91
ACTB	chr7:5528945-5529144	113	positive ctl	-1.2422	68	-0.5360	90	-0.4210	96
ACTB	chr7:5528945-5529144_shuff	225	negative ctl	0.1521	117	-1.5015	150	-1.1198	164
ACTB	chr7:5528995-5529194	184	positive ctl	0.2420	55	-0.2102	105	0.0083	131
ACTB	chr7:5528995-5529194_shuff	131	negative ctl	-0.5414	64	-1.0306	77	-1.1939	81
ACTB	chr7:5529045-5529244	187	positive ctl	-0.3096	59	0.0566	104	0.1849	123
ACTB	chr7:5529045-5529244_shuff	155	negative ctl	0.2331	53	-0.2014	89	0.2695	98
ACTB	chr7:5529095-5529294	117	positive ctl	-0.1313	42	-0.6219	71	-0.7649	76
ACTB	chr7:5529095-5529294_shuff	130	negative ctl	1.6773	47	0.2199	80	0.4196	92
ACTB	chr7:5529145-5529344	110	positive ctl	-0.3899	23	-0.7523	60	-1.1782	64
ACTB	chr7:5529145-5529344_shuff	152	negative ctl	-0.8805	53	-0.7025	82	-0.5657	88
ACTB	chr7:5529195-5529394	105	positive ctl	0.0963	32	-0.6397	58	-0.6440	64
ACTB	chr7:5529195-5529394_shuff	100	negative ctl	-0.3330	44	0.3740	64	0.6488	68
ACTB	chr7:5529245-5529444	68	positive ctl	-0.7820	16	-0.3870	37	-0.3043	39
ACTB	chr7:5529245-5529444_shuff	82	negative ctl	-1.2901	34	-0.4115	52	-0.7088	56
ACTB	chr7:5529295-5529494	81	positive ctl	-0.8100	30	-0.3473	48	-0.2357	58
ACTB	chr7:5529295-5529494_shuff	176	negative ctl	0.5667	100	-0.4118	115	-0.4586	127
ACTB	chr7:5529345-5529544	71	positive ctl	0.0403	30	-0.5840	50	-0.1343	58
ACTB	chr7:5529345-5529544_shuff	83	negative ctl	-1.0183	50	-1.4832	62	-1.1041	64
ACTB	chr7:5529395-5529594	125	positive ctl	-0.3874	58	0.3906	81	-0.2410	89
ACTB	chr7:5529395-5529594_shuff	45	negative ctl	0.1664	26	-1.0566	38	-0.3706	41
ACTB	chr7:5529445-5529644	95	positive ctl	-0.4413	32	-1.2609	49	-0.9291	55
ACTB	chr7:5529445-5529644_shuff	114	negative ctl	-0.8555	59	-0.8196	77	-1.0182	90
ACTB	chr7:5529495-5529694	106	positive ctl	-1.0405	20	-0.9162	44	-0.9150	52
ACTB	chr7:5529495-5529694_shuff	142	negative ctl	0.9198	74	0.2812	93	0.4973	106
ACTB	chr7:5529545-5529744	139	positive ctl	0.7407	54	0.2881	94	0.3885	109
ACTB	chr7:5529545-5529744_shuff	103	negative ctl	-0.0379	63	0.1562	85	-0.1249	90
ACTB	chr7:5529595-5529794	25	positive ctl	0.0943	16	0.3113	18	0.1354	21
ACTB	chr7:5529595-5529794_shuff	116	negative ctl	-0.7181	65	-0.8091	84	-1.0437	90
ACTB	chr7:5529645-5529844	7	positive ctl	2.2185	5	2.6083	6	1.7922	6
ACTB	chr7:5529645-5529844_shuff	148	negative ctl	-1.0091	59	0.0113	87	0.3884	99
ACTB	chr7:5529695-5529894	71	positive ctl	3.0382	54	3.5162	57	3.4242	59
ACTB	chr7:5529695-5529894_shuff	75	negative ctl	0.0987	37	0.2345	61	-0.1118	63
ACTB	chr7:5529745-5529944_shuff	107	negative ctl	0.0309	62	-0.6161	81	-0.8161	88
ACTB	chr7:5529795-5529994_shuff	19	negative ctl	-0.1103	14	-0.5727	14	-1.1372	15
ACTB	chr7:5529995-5530194	2	positive ctl	2.1046	2	1.6324	2	2.1348	2
ACTB	chr7:5529995-5530194_shuff	77	negative ctl	0.6130	45	-0.2155	55	-0.1077	67
ACTB	chr7:5530045-5530244	17	positive ctl	1.8261	11	1.4758	17	1.5067	16
ACTB	chr7:5530045-5530244_shuff	35	negative ctl	0.6633	21	0.1891	31	0.0760	33
ACTB	chr7:5530095-5530294	60	positive ctl	2.5974	44	1.5078	49	1.5583	55
ACTB	chr7:5530095-5530294_shuff	60	negative ctl	-1.2949	36	-0.7742	50	-1.2876	49
ACTB	chr7:5530195-5530394	2	positive ctl	-3.1477	2	-0.6586	2	-2.3259	2
ACTB	chr7:5530195-5530394_shuff	1	negative ctl	NA	NA	-2.0498	1	-0.8563	1
ACTB	chr7:5530495-5530694	1	positive ctl	2.2233	1	1.6184	1	3.2323	1
ACTB	chr7:5530495-5530694_shuff	56	negative ctl	-0.8402	28	-0.0584	42	-0.0145	50
ACTB	chr7:5530545-5530744	105	positive ctl	3.0363	58	3.8086	73	3.7605	78
ACTB	chr7:5530545-5530744_shuff	114	negative ctl	0.2329	56	0.3572	83	0.0482	93
EIF1AX	chrX:20141161-20141360	77	test	-1.5182	32	-1.0822	59	-0.9601	61
EIF1AX	chrX:20141211-20141410	142	test	-1.1902	69	-1.3841	88	-1.5747	99
EIF1AX	chrX:20141261-20141460	138	test	-0.3094	92	-0.6552	93	-0.7066	99
EIF1AX	chrX:20141311-20141510	122	test	0.3764	65	0.1763	73	0.4321	81
EIF1AX	chrX:20141361-20141560	156	test	0.1986	97	0.1064	112	0.1434	115
EIF1AX	chrX:20141411-20141610	132	test	0.1049	74	0.5438	96	0.6526	106
EIF1AX	chrX:20141461-20141660	114	test	-0.9088	45	-0.0215	76	-0.6718	83
EIF1AX	chrX:20141511-20141710	147	test	-0.0931	43	-0.5343	80	-0.4215	91
EIF1AX	chrX:20141561-20141760	132	test	-0.0905	41	-0.0640	72	-0.4629	84
EIF1AX	chrX:20141611-20141810	67	test	-0.3008	19	-0.2812	44	-0.0824	47
EIF1AX	chrX:20141661-20141860	110	test	0.7575	47	0.2586	79	0.0058	83
EIF1AX	chrX:20141711-20141910	130	test	2.0332	71	1.6949	94	1.5457	98
EIF1AX	chrX:20141761-20141960	144	test	1.6962	51	1.8890	74	1.7580	77
EIF1AX	chrX:20141811-20142010	72	test	2.3098	36	1.9518	51	2.0124	59
EIF1AX	chrX:20141861-20142060	82	test	1.6980	56	2.0122	70	1.8090	71
EIF1AX	chrX:20141911-20142110	105	test	1.9709	64	1.8410	75	1.7987	82
EIF1AX	chrX:20141961-20142160	157	test	1.7870	84	1.7307	106	1.5636	116
EIF1AX	chrX:20142011-20142210	72	test	2.3028	54	1.9313	56	1.7992	59
EIF1AX	chrX:20142061-20142260	53	test	0.0511	20	-0.0741	29	-0.0262	31
EIF1AX	chrX:20142111-20142310	38	test	-1.1789	12	-0.8784	23	-1.1356	25
ZFX	chrX:24149400-24149599	1	test	NA	NA	NA	NA	-1.5209	1
ZFX	chrX:24149450-24149649	16	test	0.4333	12	-0.7323	13	-0.5983	13
ZFX	chrX:24149500-24149699	168	test	1.2178	110	0.4947	135	0.5561	140
ZFX	chrX:24149550-24149749	56	test	1.4888	36	1.2456	51	1.2895	51
ZFX	chrX:24149600-24149799	15	test	1.1806	11	1.3197	14	1.1764	14
ZFX	chrX:24150050-24150249	1	test	-1.5165	1	-1.8405	1	-1.1428	1
USP9X	chrX:41084951-41085150	98	test	0.2336	52	-0.1491	70	0.2260	73
USP9X	chrX:41085001-41085200	112	test	0.8689	56	0.6082	81	0.9099	91
USP9X	chrX:41085051-41085250	93	test	1.2861	53	0.2150	65	0.2733	73
USP9X	chrX:41085101-41085300	21	test	1.8195	17	1.2287	21	1.4768	21
USP9X	chrX:41085151-41085350	14	test	1.4277	9	1.4431	13	1.5566	13
USP9X	chrX:41085201-41085400	13	test	2.3481	4	1.8277	4	0.8152	5
USP9X	chrX:41085301-41085500	1	test	3.9394	1	-1.3800	1	-1.6825	1
USP9X	chrX:41085401-41085600	83	test	0.5657	54	0.1326	71	0.0679	76
USP9X	chrX:41085451-41085650	3	test	0.9551	3	0.5166	3	0.0231	3
USP9X	chrX:41085501-41085700	1	test	2.4557	1	-1.9413	1	2.4673	1
USP9X	chrX:41085551-41085750	77	test	1.0456	47	0.8222	60	0.6137	65
USP9X	chrX:41085601-41085800	73	test	1.6661	35	1.7735	46	1.5865	50
USP9X	chrX:41085651-41085850	70	test	1.0665	39	0.3310	53	0.4063	54
USP9X	chrX:41085701-41085900	60	test	1.0203	29	0.7434	35	1.0117	39
USP9X	chrX:41085751-41085950	101	test	1.0219	41	1.0868	63	1.1213	77
USP9X	chrX:41085801-41086000	207	test	0.0974	68	0.2474	74	-0.0476	84
USP9X	chrX:41085851-41086050	78	test	-0.4792	46	0.3192	61	0.0522	67
USP9X	chrX:41085901-41086100	222	test	-0.1681	92	-0.0344	136	-0.0595	151
DDX3X	chrX:41333674-41333873	114	test	1.7691	46	0.9388	49	1.0946	55
DDX3X	chrX:41333724-41333923	100	test	1.9500	61	0.9053	74	1.0999	74
DDX3X	chrX:41333774-41333973	97	test	1.6124	60	0.8484	68	0.7813	75
DDX3X	chrX:41333824-41334023	75	test	1.4604	45	0.8472	36	0.8686	46
DDX3X	chrX:41333874-41334073	68	test	-0.2340	41	-0.3229	44	0.0628	54
DDX3X	chrX:41333924-41334123	86	test	1.9879	42	1.7990	62	1.4672	68
DDX3X	chrX:41333974-41334173	109	test	1.6555	57	1.5417	76	1.4230	78
DDX3X	chrX:41334024-41334223	89	test	1.2947	41	1.4780	59	1.2175	64
DDX3X	chrX:41334074-41334273	88	test	1.6859	43	1.4873	63	1.8065	69
DDX3X	chrX:41334124-41334323	71	test	0.4811	31	-0.0779	40	-0.2275	39
DDX3X	chrX:41334174-41334373	92	test	0.3004	38	-0.0673	59	-0.6436	65
DDX3X	chrX:41334224-41334423	101	test	-0.1604	43	-0.3818	61	-0.3955	67
DDX3X	chrX:41334274-41334473	127	test	-1.4383	51	-0.7842	84	-1.0044	90
DDX3X	chrX:41334324-41334523	112	test	-1.2914	72	-1.2852	91	-1.6394	95
DDX3X	chrX:41334374-41334573	62	test	1.9872	37	0.3350	47	0.6800	51
DDX3X	chrX:41334424-41334623	103	test	2.3971	60	2.1479	76	1.8199	75
DDX3X	chrX:41334474-41334673	93	test	1.7269	46	1.4185	66	1.2706	70
DDX3X	chrX:41334524-41334723	108	test	1.5908	65	1.0856	84	0.8687	86
DDX3X	chrX:41334574-41334773	104	test	1.0760	61	0.3342	75	0.3370	77
DDX3X	chrX:41334624-41334823	89	test	-1.0165	55	-0.4133	71	-0.0989	77
KDM6A	chrX:44872715-44872914	24	test	-0.3509	16	-0.8484	21	-0.3618	22
KDM6A	chrX:44872765-44872964	28	test	0.9986	18	-0.1003	25	-0.2155	24
KDM6A	chrX:44872815-44873014	53	test	1.5051	38	0.7485	48	0.7403	48
KDM6A	chrX:44872865-44873064	125	test	1.8871	62	1.5178	92	1.5295	95
KDM6A	chrX:44872915-44873114	41	test	1.9241	27	1.9200	35	1.9404	30
KDM6A	chrX:44872965-44873164	62	test	2.1219	34	2.2891	45	2.1860	48
KDM6A	chrX:44873015-44873214	64	test	1.4742	33	1.6354	49	1.2664	59
KDM6A	chrX:44873065-44873264	97	test	1.0000	52	0.8606	75	0.6070	79
KDM6A	chrX:44873115-44873314	90	test	1.1306	50	0.7006	71	0.1444	78
KDM6A	chrX:44873165-44873364	63	test	-0.8970	30	-0.6526	56	-0.3232	56
KDM6A	chrX:44873365-44873564	140	test	-0.2906	66	0.2755	96	0.0465	112
KDM6A	chrX:44873415-44873614	113	test	0.1174	57	0.0723	85	0.0198	89
KDM6A	chrX:44873465-44873664	75	test	-0.2413	50	-0.1414	51	-0.0322	55
KDM6A	chrX:44873515-44873714	81	test	-0.3648	22	-0.2219	44	0.1924	52
KDM6A	chrX:44873565-44873764	107	test	0.0090	44	0.1177	61	0.0603	69
KDM6A	chrX:44873615-44873814	69	test	-0.1515	29	0.1335	38	-0.1142	53
KDM5C	chrX:53222460-53222659_shuff	112	negative ctl	1.5765	44	0.9438	56	0.8727	60
KDM5C	chrX:53222510-53222709_shuff	118	negative ctl	-1.0739	51	-0.9376	62	-1.5375	68
KDM5C	chrX:53222560-53222759_shuff	81	negative ctl	0.6961	34	0.2139	50	0.3178	60
KDM5C	chrX:53222610-53222809_shuff	90	negative ctl	-2.0613	39	-1.4757	55	-1.3710	59
KDM5C	chrX:53222660-53222859_shuff	96	negative ctl	-1.4599	51	-1.5019	62	-1.5592	66
KDM5C	chrX:53222710-53222909_shuff	153	negative ctl	-0.7097	62	-1.4694	82	-2.0100	87
